Team,Region,Stage,StageOrder,GoalsConcededPerMatch
Spain,Europe,Winner,8,0.1
Argentina,Non-Europe,Runner-up,7,1
England,Europe,Third Place,6,1.5
France,Europe,Fourth Place,5,1.3
Switzerland,Europe,Quarterfinal,4,1
Norway,Europe,Quarterfinal,4,1.8
Morocco,Non-Europe,Quarterfinal,4,1
Belgium,Europe,Quarterfinal,4,1.2
Paraguay,Non-Europe,Round of 16,3,1.2
Canada,Non-Europe,Round of 16,3,1.2
Brazil,Non-Europe,Round of 16,3,0.8
USA,Non-Europe,Round of 16,3,1.6
Egypt,Non-Europe,Round of 16,3,1.4
Colombia,Non-Europe,Round of 16,3,0.2
Portugal,Europe,Round of 16,3,0.6
Mexico,Non-Europe,Round of 16,3,0.6
Ecuador,Non-Europe,Round of 32,2,1
Ivory Coast,Non-Europe,Round of 32,2,1
Australia,Non-Europe,Round of 32,2,0.8
South Africa,Non-Europe,Round of 32,2,1
Ghana,Non-Europe,Round of 32,2,0.8
Germany,Europe,Round of 32,2,1.3
DR Congo,Non-Europe,Round of 32,2,1.3
Netherlands,Europe,Round of 32,2,1.3
Cape Verde,Non-Europe,Round of 32,2,1.3
Japan,Non-Europe,Round of 32,2,1.3
Croatia,Europe,Round of 32,2,1.8
Bosnia and Herzegovina,Europe,Round of 32,2,2
Senegal,Non-Europe,Round of 32,2,2.3
Austria,Europe,Round of 32,2,2.3
Algeria,Non-Europe,Round of 32,2,2.3
Sweden,Europe,Round of 32,2,2.5
South Korea,Non-Europe,Group Stage,1,1
Czechia,Europe,Group Stage,1,2
Qatar,Non-Europe,Group Stage,1,3.333
Scotland,Europe,Group Stage,1,1.333
Haiti,Non-Europe,Group Stage,1,2.667
Turkiye,Europe,Group Stage,1,1.667
Curacao,Non-Europe,Group Stage,1,3
Tunisia,Non-Europe,Group Stage,1,4
Iran,Non-Europe,Group Stage,1,1
New Zealand,Non-Europe,Group Stage,1,3.333
Uruguay,Non-Europe,Group Stage,1,1.333
Saudi Arabia,Non-Europe,Group Stage,1,1.667
Iraq,Non-Europe,Group Stage,1,4
Jordan,Non-Europe,Group Stage,1,2.667
Uzbekistan,Non-Europe,Group Stage,1,3.667
Panama,Non-Europe,Group Stage,1,1.333
