"row ID","n","name","pos","x","y","player_id","side","event_id","received_at"
"Row1599",30,"M. Oyarzabal","F",59.3,44,3890,"home",8390,"2026-07-20T03:00:03.988Z"
"Row1600",147,"P. Porro","D",50.2,14.5,719,"home",8390,"2026-07-20T03:00:03.988Z"
"Row1601",111,"A. Laporte","D",40,68.4,565,"home",8390,"2026-07-20T03:00:03.988Z"
"Row1602",22,"F. Torres","F",72.8,47.6,749,"home",8390,"2026-07-20T03:00:03.988Z"
"Row1603",33,"M. Zubimendi","M",44.6,49.4,448,"home",8390,"2026-07-20T03:00:03.988Z"
"Row1604",18,"E. García","D",34.4,67.6,743,"home",8390,"2026-07-20T03:00:03.988Z"
"Row1605",47,"A. Baena","M",72.9,72,769,"home",8390,"2026-07-20T03:00:03.988Z"
"Row1606",42,"D. Olmo","M",64.4,45.6,746,"home",8390,"2026-07-20T03:00:03.988Z"
"Row1607",106,"M. Cucurella","D",55.2,84.3,386,"home",8390,"2026-07-20T03:00:03.988Z"
"Row1608",61,"U. Simón","G",13.3,52.7,562,"home",8390,"2026-07-20T03:00:03.988Z"
"Row1609",124,"Rodri","M",51.2,45.1,4267,"home",8390,"2026-07-20T03:00:03.988Z"
"Row1610",41,"M. Merino","M",54.6,39.3,451,"home",8390,"2026-07-20T03:00:03.988Z"
"Row1611",152,"P. Cubarsí","D",39.1,30.3,740,"home",8390,"2026-07-20T03:00:03.988Z"
"Row1612",45,"N. Williams","M",74.4,77.2,571,"home",8390,"2026-07-20T03:00:03.988Z"
"Row1613",56,"F. Ruiz","M",55,57.4,2249,"home",8390,"2026-07-20T03:00:03.988Z"
"Row1614",97,"L. Yamal","M",68,19.8,745,"home",8390,"2026-07-20T03:00:03.988Z"
"Row1615",81,"Pedri","M",57.2,58.4,744,"home",8390,"2026-07-20T03:00:03.988Z"
"Row3224",42,"R. De Paul","M",43.9,24.1,9057,"away",8390,"2026-07-20T03:00:03.988Z"
"Row3225",40,"L. Martínez","D",31.4,70.5,1800,"away",8390,"2026-07-20T03:00:03.988Z"
"Row3226",31,"G. Montiel","D",37.6,15.1,23014,"away",8390,"2026-07-20T03:00:03.988Z"
"Row3227",23,"N. González","M",52.3,77,768,"away",8390,"2026-07-20T03:00:03.988Z"
"Row3228",38,"G. Simeone","M",54,34.3,767,"away",8390,"2026-07-20T03:00:03.988Z"
"Row3229",40,"J. Álvarez","F",43.3,72.9,770,"away",8390,"2026-07-20T03:00:03.988Z"
"Row3230",34,"F. Medina","D",33.9,77.3,4603,"away",8390,"2026-07-20T03:00:03.988Z"
"Row3231",10,"M. Senesi","D",41.4,52.2,2370,"away",8390,"2026-07-20T03:00:03.988Z"
"Row3232",45,"N. Otamendi","D",36.2,44.8,2054,"away",8390,"2026-07-20T03:00:03.988Z"
"Row3233",67,"L. Paredes","M",41.1,48.9,16872,"away",8390,"2026-07-20T03:00:03.988Z"
"Row3234",58,"E. Fernández","M",35.6,46,387,"away",8390,"2026-07-20T03:00:03.988Z"
"Row3235",58,"A. Mac Allister","M",42.6,63.9,328,"away",8390,"2026-07-20T03:00:03.988Z"
"Row3236",88,"E. Martínez","G",9.8,48.4,1629,"away",8390,"2026-07-20T03:00:03.988Z"
"Row3237",60,"L. Messi","F",62.2,35.3,9063,"away",8390,"2026-07-20T03:00:03.988Z"
"Row3238",51,"C. Romero","D",26.3,38.3,720,"away",8390,"2026-07-20T03:00:03.988Z"
"Row3239",50,"N. Molina","D",33.3,20.5,761,"away",8390,"2026-07-20T03:00:03.988Z"
"Row3240",77,"N. Tagliafico","D",38.5,83.8,1107,"away",8390,"2026-07-20T03:00:03.988Z"
"Row1583",33,"T. Hernández","D",41.9,87,7994,"home",8389,"2026-07-19T05:00:03.850Z"
"Row1584",32,"D. Doué","F",55.7,72.6,4324,"home",8389,"2026-07-19T05:00:03.850Z"
"Row1585",76,"W. Zaïre-Emery","M",49.8,45.1,2243,"home",8389,"2026-07-19T05:00:03.850Z"
"Row1586",94,"M. Olise","M",62.2,36.2,2467,"home",8389,"2026-07-19T05:00:03.850Z"
"Row1587",39,"O. Dembélé","F",69.6,24.2,2253,"home",8389,"2026-07-19T05:00:03.850Z"
"Row1588",32,"D. Upamecano","D",42.9,35.1,3463,"home",8389,"2026-07-19T05:00:03.850Z"
"Row1589",32,"I. Konaté","D",35.4,36.6,324,"home",8389,"2026-07-19T05:00:03.850Z"
"Row1590",7,"J. Koundé","D",62.8,19.4,739,"home",8389,"2026-07-19T05:00:03.850Z"
"Row1591",72,"M. Gusto","D",48.8,17.5,393,"home",8389,"2026-07-19T05:00:03.850Z"
"Row1592",32,"L. Digne","D",51.4,82.2,513,"home",8389,"2026-07-19T05:00:03.850Z"
"Row1593",29,"B. Barcola","F",64.2,79.5,2261,"home",8389,"2026-07-19T05:00:03.850Z"
"Row1594",67,"A. Rabiot","M",48.9,60.7,1994,"home",8389,"2026-07-19T05:00:03.850Z"
"Row1595",24,"M. Maignan","G",11.2,41.4,1987,"home",8389,"2026-07-19T05:00:03.850Z"
"Row1596",38,"R. Cherki","M",56.3,44.6,856,"home",8389,"2026-07-19T05:00:03.850Z"
"Row1597",64,"M. Lacroix","D",33.9,61.8,424,"home",8389,"2026-07-19T05:00:03.850Z"
"Row1598",70,"K. Mbappé","F",72.9,59.4,594,"home",8389,"2026-07-19T05:00:03.850Z"
"Row3208",23,"J. Bellingham","M",53,51.9,592,"away",8389,"2026-07-19T05:00:03.850Z"
"Row3209",53,"B. Saka","F",55.7,34.6,455,"away",8389,"2026-07-19T05:00:03.850Z"
"Row3210",43,"I. Toney","F",56.8,53.4,8120,"away",8389,"2026-07-19T05:00:03.850Z"
"Row3211",36,"M. Rashford","F",61.6,77.9,750,"away",8389,"2026-07-19T05:00:03.850Z"
"Row3212",55,"D. Henderson","G",10.3,47.6,422,"away",8389,"2026-07-19T05:00:03.850Z"
"Row3213",92,"M. Guéhi","D",29.3,66.4,425,"away",8389,"2026-07-19T05:00:03.850Z"
"Row3214",17,"E. Anderson","M",32.1,54.9,548,"away",8389,"2026-07-19T05:00:03.850Z"
"Row3215",8,"R. James","D",24.4,21.1,400,"away",8389,"2026-07-19T05:00:03.850Z"
"Row3216",2,"T. Chalobah","D",10.1,58.7,383,"away",8389,"2026-07-19T05:00:03.850Z"
"Row3217",70,"E. Konsa","D",29.6,34,504,"away",8389,"2026-07-19T05:00:03.850Z"
"Row3218",68,"D. Spence","D",44.5,84,735,"away",8389,"2026-07-19T05:00:03.850Z"
"Row3219",64,"M. Rogers","M",45.7,42.4,511,"away",8389,"2026-07-19T05:00:03.850Z"
"Row3220",123,"D. Rice","M",39.6,55.8,449,"away",8389,"2026-07-19T05:00:03.850Z"
"Row3221",30,"O. Watkins","F",61,65.6,512,"away",8389,"2026-07-19T05:00:03.850Z"
"Row3222",73,"E. Eze","M",50.2,63.3,454,"away",8389,"2026-07-19T05:00:03.850Z"
"Row3223",52,"J. Quansah","D",34.2,19.1,2149,"away",8389,"2026-07-19T05:00:03.850Z"
"Row1567",34,"A. Gordon","F",60.8,76.6,711,"home",8388,"2026-07-16T03:00:01.840Z"
"Row1568",3,"M. Rashford","F",82.7,84.8,750,"home",8388,"2026-07-16T03:00:01.840Z"
"Row1569",51,"J. Pickford","G",15.7,53,803,"home",8388,"2026-07-16T03:00:01.840Z"
"Row1570",52,"J. Stones","D",35.4,31.6,854,"home",8388,"2026-07-16T03:00:01.840Z"
"Row1571",16,"E. Konsa","D",64.6,5.8,504,"home",8388,"2026-07-16T03:00:01.840Z"
"Row1572",69,"M. Guéhi","D",32.6,69.7,425,"home",8388,"2026-07-16T03:00:01.840Z"
"Row1573",31,"M. Rogers","M",66.8,24.1,511,"home",8388,"2026-07-16T03:00:01.840Z"
"Row1574",36,"H. Kane","F",48.2,54,2466,"home",8388,"2026-07-16T03:00:01.840Z"
"Row1575",6,"D. Burn","D",81.1,25.7,701,"home",8388,"2026-07-16T03:00:01.840Z"
"Row1576",60,"D. Spence","D",46.4,84.5,735,"home",8388,"2026-07-16T03:00:01.840Z"
"Row1577",10,"N. O’Reilly","D",49.2,75.1,847,"home",8388,"2026-07-16T03:00:01.840Z"
"Row1578",46,"D. Rice","M",49.9,38.1,449,"home",8388,"2026-07-16T03:00:01.840Z"
"Row1579",49,"R. James","D",54.8,22.4,400,"home",8388,"2026-07-16T03:00:01.840Z"
"Row1580",1,"I. Toney","F",70.7,8.8,8120,"home",8388,"2026-07-16T03:00:01.840Z"
"Row1581",92,"E. Anderson","M",44.1,53.5,548,"home",8388,"2026-07-16T03:00:01.840Z"
"Row1582",49,"J. Bellingham","M",48.2,72.2,592,"home",8388,"2026-07-16T03:00:01.840Z"
"Row3192",39,"E. Martínez","G",11.3,52.7,1629,"away",8388,"2026-07-16T03:00:01.840Z"
"Row3193",66,"G. Simeone","M",60.9,15.6,767,"away",8388,"2026-07-16T03:00:01.840Z"
"Row3194",30,"N. González","M",62,83.2,768,"away",8388,"2026-07-16T03:00:01.840Z"
"Row3195",26,"N. Otamendi","D",44.6,64.6,2054,"away",8388,"2026-07-16T03:00:01.840Z"
"Row3196",112,"E. Fernández","M",54.8,38.8,387,"away",8388,"2026-07-16T03:00:01.840Z"
"Row3197",35,"R. De Paul","M",56.9,24.3,9057,"away",8388,"2026-07-16T03:00:01.840Z"
"Row3198",58,"N. Molina","D",43.7,13.5,761,"away",8388,"2026-07-16T03:00:01.840Z"
"Row3199",23,"G. Montiel","D",60.8,9.2,23014,"away",8388,"2026-07-16T03:00:01.840Z"
"Row3200",51,"L. Martínez","D",39.6,65.2,1800,"away",8388,"2026-07-16T03:00:01.840Z"
"Row3201",59,"A. Mac Allister","M",52.4,56.6,328,"away",8388,"2026-07-16T03:00:01.840Z"
"Row3202",83,"L. Paredes","M",47.3,47,16872,"away",8388,"2026-07-16T03:00:01.840Z"
"Row3203",98,"L. Messi","F",67.5,29,9063,"away",8388,"2026-07-16T03:00:01.840Z"
"Row3204",56,"N. Tagliafico","D",47.5,80.4,1107,"away",8388,"2026-07-16T03:00:01.840Z"
"Row3205",84,"C. Romero","D",34.7,30.5,720,"away",8388,"2026-07-16T03:00:01.840Z"
"Row3206",59,"J. Álvarez","F",58.7,63.7,770,"away",8388,"2026-07-16T03:00:01.840Z"
"Row3207",2,"L. Martínez","F",91.4,27.6,1687,"away",8388,"2026-07-16T03:00:01.840Z"
"Row1551",28,"B. Barcola","F",65.2,82.6,2261,"home",8387,"2026-07-14T21:55:33.358Z"
"Row1552",12,"W. Saliba","D",37.4,64.1,3460,"home",8387,"2026-07-14T21:55:33.358Z"
"Row1553",41,"K. Mbappé","F",73.6,62.1,594,"home",8387,"2026-07-14T21:55:33.358Z"
"Row1554",62,"J. Koundé","D",47.7,14.3,739,"home",8387,"2026-07-14T21:55:33.358Z"
