"row ID","event_id","home_team","away_team","weather","highlights","season_id","home_team_id","away_team_id","home_coach_id","away_coach_id","referee_id","venue_id","event_date","status","round_number","round_name","group_name","period","current_minute","home_score","away_score","home_score_ht","away_score_ht","penalty_shootout_home","penalty_shootout_away","extra_time_score_home","extra_time_score_away","head_to_head_total_matches","head_to_head_home_wins","head_to_head_draws","head_to_head_away_wins","head_to_head_home_goals","head_to_head_away_goals","head_to_head_avg_total_goals","head_to_head_home_win_rate","head_to_head_away_win_rate","received_at"
"Row0",8287,"Mexico","South Africa","{
  ""code"" : 2,
  ""description"" : ""cloudy"",
  ""wind_speed"" : 5,
  ""temperature_c"" : 21
}","[ {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — South Africa l Hugo Broos & Teboho Mokoena"",
  ""url"" : ""https://www.youtube.com/watch?v=ZLVpzspnBE0"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/ZLVpzspnBE0/hqdefault.jpg"",
  ""published_at"" : ""2026-06-11T11:42:24+00:00""
}, {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Mexico | Javier Aguirre & Santiago Gimenez"",
  ""url"" : ""https://www.youtube.com/watch?v=ht0kvzGAcVw"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/ht0kvzGAcVw/hqdefault.jpg"",
  ""published_at"" : ""2026-06-11T11:41:05+00:00""
} ]",188,451,452,128,87,1932,295,"2026-06-11T19:00:00+00:00","finished",1,"","Group A","FT",97,2,0,1,0,,,,,1,1,0,0,2,0,2,1,0,"2026-06-12T03:09:53.282Z"
"Row1",8288,"South Korea","Czechia","{
  ""code"" : 2,
  ""description"" : ""cloudy"",
  ""wind_speed"" : 7.8,
  ""temperature_c"" : 20
}","[ {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Czechia I Miroslav Koubek"",
  ""url"" : ""https://youtu.be/F6C2JEccbkw"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/F6C2JEccbkw/hqdefault.jpg"",
  ""published_at"" : ""2026-06-11T12:11:34+00:00""
}, {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — South Korea l Hong Myungbo & Son Heungmin"",
  ""url"" : ""https://youtu.be/-pZh-gxTBCE"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/-pZh-gxTBCE/hqdefault.jpg"",
  ""published_at"" : ""2026-06-11T12:09:33+00:00""
} ]",188,453,930,105,579,2443,307,"2026-06-12T02:00:00+00:00","finished",1,"","Group A","FT",90,2,1,0,0,,,,,,,,,,,,,,"2026-06-12T10:05:35.440Z"
"Row2",8289,"Canada","Bosnia & Herzegovina","{
  ""code"" : 2,
  ""description"" : ""cloudy"",
  ""wind_speed"" : 11.4,
  ""temperature_c"" : 26
}","[ {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Canada | Jesse Marsch & Stephen Eustaquio"",
  ""url"" : ""https://www.youtube.com/watch?v=aGtdwTKInLE"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/aGtdwTKInLE/hqdefault.jpg"",
  ""published_at"" : ""2026-06-12T08:10:36+00:00""
}, {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Bosnia and Herzegovina | Sergej Barbarez"",
  ""url"" : ""https://www.youtube.com/watch?v=Z_JNq3cmc5M"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/Z_JNq3cmc5M/hqdefault.jpg"",
  ""published_at"" : ""2026-06-12T08:08:58+00:00""
} ]",188,455,931,130,580,2401,275,"2026-06-12T19:00:00+00:00","finished",1,"","Group B","FT",96,1,1,0,1,,,,,1,0,1,0,1,1,2,0,0,"2026-06-13T03:00:37.072Z"
"Row3",8290,"USA","Paraguay","{
  ""code"" : 1,
  ""description"" : ""clear"",
  ""wind_speed"" : 20.7,
  ""temperature_c"" : 22
}","[ {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Paraguay | Gustavo Alfaro & Diego Gomez"",
  ""url"" : ""https://www.youtube.com/watch?v=KZJjG3ox1qk"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/KZJjG3ox1qk/hqdefault.jpg"",
  ""published_at"" : ""2026-06-12T22:56:11+00:00""
}, {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — USA | Mauricio Pochettino"",
  ""url"" : ""https://www.youtube.com/watch?v=ED0Qc-_JTfc"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/ED0Qc-_JTfc/hqdefault.jpg"",
  ""published_at"" : ""2026-06-12T22:54:48+00:00""
} ]",188,457,458,122,90,2251,1180,"2026-06-13T01:00:00+00:00","finished",1,"","Group D","FT",90,4,1,2,1,,,,,,,,,,,,,,"2026-06-13T09:00:30.292Z"
"Row4",8292,"Qatar","Switzerland","{
  ""code"" : 2,
  ""description"" : ""cloudy"",
  ""wind_speed"" : 9.4,
  ""temperature_c"" : 33
}","[ {
  ""kind"" : ""full"",
  ""title"" : ""Qatar 1 - 1 Switzerland — Full Highlights"",
  ""url"" : ""https://www.youtube.com/watch?v=iE5LAMGX04c"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/iE5LAMGX04c/hqdefault.jpg"",
  ""published_at"" : ""2026-06-13T21:14:22+00:00""
}, {
  ""kind"" : ""full"",
  ""title"" : ""Qatar 1 - 1 Switzerland — Full Highlights"",
  ""url"" : ""https://www.youtube.com/watch?v=kjsD442TPCw"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/kjsD442TPCw/hqdefault.jpg"",
  ""published_at"" : ""2026-06-13T21:09:01+00:00""
}, {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Switzerland | Murat Yakin & Granit Xhaka"",
  ""url"" : ""https://www.youtube.com/watch?v=FUuKKXn-cfo"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/FUuKKXn-cfo/hqdefault.jpg"",
  ""published_at"" : ""2026-06-13T13:05:49+00:00""
}, {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Qatar | Julen Lopetegui & Hassan Alhaydos"",
  ""url"" : ""https://www.youtube.com/watch?v=EmlJADggl5U"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/EmlJADggl5U/hqdefault.jpg"",
  ""published_at"" : ""2026-06-13T01:02:18+00:00""
} ]",188,461,462,570,78,2634,1181,"2026-06-13T19:00:00+00:00","finished",1,"","Group B","FT",96,1,1,0,1,,,,,1,0,1,0,1,1,2,0,0,"2026-06-14T03:00:30.920Z"
"Row5",8293,"Brazil","Morocco","{
  ""code"" : 1,
  ""description"" : ""clear"",
  ""wind_speed"" : 14.5,
  ""temperature_c"" : 24
}","[ {
  ""kind"" : ""clip"",
  ""title"" : ""Is this Brazil’s worst generation? — CBS Sports Golazo crew breaks down the numbers"",
  ""url"" : ""https://www.youtube.com/watch?v=3JC2t7LwiD8"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/3JC2t7LwiD8/hqdefault.jpg"",
  ""published_at"" : ""2026-06-13T17:59:27+00:00""
}, {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Brazil | Carlo Ancelotti"",
  ""url"" : ""https://www.youtube.com/watch?v=DlG2GLp5VwU"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/DlG2GLp5VwU/hqdefault.jpg"",
  ""published_at"" : ""2026-06-12T22:11:58+00:00""
}, {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Morocco | Mohamed Ouahbi & Achraf Hakimi"",
  ""url"" : ""https://www.youtube.com/watch?v=MAsVbiZaHRo"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/MAsVbiZaHRo/hqdefault.jpg"",
  ""published_at"" : ""2026-06-12T22:11:15+00:00""
}, {
  ""kind"" : ""clip"",
  ""title"" : ""A Guest and a Half: Raphinha — Raphinha: Part II"",
  ""url"" : ""https://www.youtube.com/watch?v=4HK6v-bUELg&amp;t=1s"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/4HK6v-bUELg/hqdefault.jpg"",
  ""published_at"" : ""2026-02-05T14:33:51+00:00""
} ]",188,463,464,127,89,2386,1182,"2026-06-13T22:00:00+00:00","finished",1,"","Group C","FT",90,1,1,1,1,,,,,1,0,1,0,1,1,2,0,0,"2026-06-14T06:00:31.056Z"
"Row6",8294,"Haiti","Scotland","{
  ""code"" : 2,
  ""description"" : ""cloudy"",
  ""wind_speed"" : 0.8,
  ""temperature_c"" : 12
}","[ {
  ""kind"" : ""full"",
  ""title"" : ""Haiti 0 - 1 Scotland — Full Highlights"",
  ""url"" : ""https://www.youtube.com/watch?v=hRN7UiV80qM"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/hRN7UiV80qM/hqdefault.jpg"",
  ""published_at"" : ""2026-06-14T03:14:00+00:00""
}, {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Haiti | Sebastien Migne"",
  ""url"" : ""https://www.youtube.com/watch?v=_rQD2Wy0u20"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/_rQD2Wy0u20/hqdefault.jpg"",
  ""published_at"" : ""2026-06-12T23:33:13+00:00""
}, {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Scotland | Steve Clarke"",
  ""url"" : ""https://www.youtube.com/watch?v=MWJ5xT69vK0"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/MWJ5xT69vK0/hqdefault.jpg"",
  ""published_at"" : ""2026-06-12T22:51:41+00:00""
} ]",188,465,466,83,95,2481,273,"2026-06-14T01:00:00+00:00","finished",1,"","Group C","FT",90,0,1,0,1,,,,,,,,,,,,,,"2026-06-14T09:00:30.939Z"
"Row7",8291,"Australia","Türkiye","{
  ""code"" : 2,
  ""description"" : ""cloudy"",
  ""wind_speed"" : 1.5,
  ""temperature_c"" : 16
}","[ {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Türkiye | Vincenzo Montella"",
  ""url"" : ""https://www.youtube.com/watch?v=xd3r0oURgYM"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/xd3r0oURgYM/hqdefault.jpg"",
  ""published_at"" : ""2026-06-13T09:08:36+00:00""
}, {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Australia | Tony Popović & Aiden O'Neill"",
  ""url"" : ""https://www.youtube.com/watch?v=PTHX3mkehQc"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/PTHX3mkehQc/hqdefault.jpg"",
  ""published_at"" : ""2026-06-13T07:04:47+00:00""
} ]",188,459,932,571,581,2118,266,"2026-06-14T04:00:00+00:00","finished",1,"","Group D","FT",90,2,0,1,0,,,,,,,,,,,,,,"2026-06-14T12:00:31.164Z"
"Row8",8295,"Germany","Curaçao","{
  ""code"" : 2,
  ""description"" : ""cloudy"",
  ""wind_speed"" : 12.2,
  ""temperature_c"" : 30
}","[ {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Curacao | Dick Advocaat & Leandro Bacuna"",
  ""url"" : ""https://www.youtube.com/watch?v=aWuZUxTt-wE"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/aWuZUxTt-wE/hqdefault.jpg"",
  ""published_at"" : ""2026-06-14T06:19:37+00:00""
}, {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Germany | Julian Nagelsmann & Aleksandar Pavlovic"",
  ""url"" : ""https://www.youtube.com/watch?v=8SvFc-d4_Ik"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/8SvFc-d4_Ik/hqdefault.jpg"",
  ""published_at"" : ""2026-06-14T00:52:42+00:00""
} ]",188,467,468,51,1562,2477,1183,"2026-06-14T17:00:00+00:00","finished",1,"","Group E","FT",90,7,1,4,1,,,,,,,,,,,,,,"2026-06-15T01:00:33.560Z"
"Row9",8296,"Netherlands","Japan","{
  ""code"" : 2,
  ""description"" : ""cloudy"",
  ""wind_speed"" : 18,
  ""temperature_c"" : 35
}","[ {
  ""kind"" : ""full"",
  ""title"" : ""Netherlands 2 - 2 Japan — Full Highlights"",
  ""url"" : ""https://www.youtube.com/watch?v=4GalIYEMjZQ"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/4GalIYEMjZQ/hqdefault.jpg"",
  ""published_at"" : ""2026-06-14T21:57:19+00:00""
}, {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Netherlands | Ronald Koeman & Frenkie De Jong"",
  ""url"" : ""https://www.youtube.com/watch?v=q-BVju1TiVs"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/q-BVju1TiVs/hqdefault.jpg"",
  ""published_at"" : ""2026-06-14T13:28:10+00:00""
}, {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Japan | Hajime Moriyasu"",
  ""url"" : ""https://www.youtube.com/watch?v=q9wJ2zXBcJM"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/q9wJ2zXBcJM/hqdefault.jpg"",
  ""published_at"" : ""2026-06-13T23:48:17+00:00""
} ]",188,469,470,102,109,1771,1184,"2026-06-14T20:00:00+00:00","finished",1,"","Group F","FT",96,2,2,0,0,,,,,1,0,1,0,2,2,4,0,0,"2026-06-15T04:00:31.604Z"
