"row ID","event_id","sequence","received_at","xg","gml","min","sit","body","home","type","xgot","added","player_id","gm_x","gm_y","gm_z","pos_x","pos_y","pos_z","block_x","block_y","block_z","gtype"
"Row0_1",8288,0,"2026-06-12T10:05:33.753Z",0.0342,"right",90,"set-piece","right-foot",0,"miss",,7,5156,0,4.9,5.6,19.1,37.9,0,18.1,44.8,0,
"Row0_2",8288,1,"2026-06-12T10:05:33.753Z",0.0163,"left",90,"regular","head",0,"miss",,4,5156,0,90.9,2.8,10,35.5,0,6.3,17.7,0,
"Row0_3",8288,2,"2026-06-12T10:05:33.753Z",0.0573,"low-left",90,"assisted","left-foot",1,"block",,4,17043,0,53.3,19,20.3,57.3,0,17.7,56,0,
"Row0_4",8288,3,"2026-06-12T10:05:33.753Z",0.1545,"low-left",90,"assisted","right-foot",0,"save",0.7506,3,3703,0,53.6,3.2,14.9,56.4,0,0.90000000000001,52.3,0,
"Row0_5",8288,4,"2026-06-12T10:05:33.753Z",0.0103,"low-centre",88,"regular","head",0,"save",0.0167,,3703,0,51.1,3.2,31.6,25.3,0,2.7,29.2,0,
"Row0_6",8288,5,"2026-06-12T10:05:33.753Z",0.1205,"low-left",82,"throw-in-set-piece","left-foot",0,"save",0.6294,,5156,0,53.4,8.2,4,40,0,1,46.4,0,
"Row0_7",8288,6,"2026-06-12T10:05:33.753Z",0.5307,"low-left",80,"assisted","left-foot",1,"goal",0.4611,,3131,0,52,14.6,4.8,54.6,0,,,,"regular"
"Row0_8",8288,7,"2026-06-12T10:05:33.753Z",0.3113,"low-right",67,"assisted","right-foot",1,"goal",0.8786,,4397,0,45.8,5.7,10.9,38.1,0,,,,"regular"
"Row0_9",8288,8,"2026-06-12T10:05:33.753Z",0.0458,"left",61,"assisted","head",1,"miss",,,1197,0,60.7,2.8,9.6,59.4,0,4.2,49.6,0,
"Row0_10",8288,9,"2026-06-12T10:05:33.753Z",0.2145,"low-right",59,"throw-in-set-piece","head",0,"goal",0.2408,,3904,0,47.4,19.6,5,53.8,0,,,,"regular"
"Row0_11",8288,10,"2026-06-12T10:05:33.753Z",0.2028,"low-left",56,"assisted","left-foot",1,"save",0.363,,9190,0,52.2,16.5,8.5,36.8,0,5.4,39.9,0,
"Row0_12",8288,11,"2026-06-12T10:05:33.753Z",0.3144,"low-centre",49,"regular","left-foot",1,"save",0.2288,,1197,0,49.3,6.3,6.7,55.8,0,3.7,53.6,0,
"Row0_13",8288,12,"2026-06-12T10:05:33.753Z",0.0299,"low-left",49,"assisted","right-foot",1,"save",0.0473,,4397,0,51.8,1.9,14.4,69.9,0,3.2,54.5,0,
"Row0_14",8288,13,"2026-06-12T10:05:33.753Z",0.0182,"high-left",45,"assisted","right-foot",1,"miss",,3,4397,0,59.8,72.2,30,47,0,,,,
"Row0_15",8288,14,"2026-06-12T10:05:33.753Z",0.1933,"low-right",45,"assisted","right-foot",1,"block",,2,9190,0,47.3,19,9.5,46.2,0,5,49.3,0,
"Row0_16",8288,15,"2026-06-12T10:05:33.753Z",0.1297,"left",39,"assisted","left-foot",1,"miss",,,9190,0,60,18.1,19.4,43.6,0,,,,
"Row0_17",8288,16,"2026-06-12T10:05:33.753Z",0.0254,"high",38,"assisted","right-foot",1,"miss",,,9190,0,44.9,81.9,26.3,50.1,0,,,,
"Row0_18",8288,17,"2026-06-12T10:05:33.753Z",0.0067,"close-high",32,"regular","right-foot",0,"miss",,,1112,0,49.8,50,30.9,66.2,0,,,,
"Row0_19",8288,18,"2026-06-12T10:05:33.753Z",0.2786,"right",22,"corner","left-foot",0,"miss",,,1647,0,39.7,13.9,5.2,53.4,0,,,,
"Row0_20",8288,19,"2026-06-12T10:05:33.753Z",0.0424,"low-right",14,"corner","right-foot",1,"block",,,9190,0,47,19,13,55.2,0,11.1,54.9,0,
"Row0_21",8288,20,"2026-06-12T10:05:33.753Z",0.0161,"low-right",14,"assisted","left-foot",1,"save",0.0414,,2250,0,47.6,18.4,29.9,33.7,0,2.3,47.8,0,
"Row0_22",8288,21,"2026-06-12T10:05:33.753Z",0.043,"high",12,"corner","head",1,"miss",,,3259,0,47.1,69.4,8.2,55.8,0,,,,
"Row0_23",8288,22,"2026-06-12T10:05:33.753Z",0.0517,"low-centre",12,"assisted","left-foot",1,"block",,,9190,0,51.5,19,14.4,41.2,0,2,47.5,0,
