"row ID","event_id","received_at","home_duels","home_fouls","home_passes","home_tackles","home_offsides","home_big_saves","home_throw_ins","home_clearances","home_free_kicks","home_goal_kicks","home_recoveries","home_big_chances","home_tackles_won","home_total_saves","home_total_shots","home_corner_kicks","home_dispossessed","home_hit_woodwork","home_yellow_cards","home_blocked_shots","home_interceptions","home_through_balls","home_total_tackles","home_expected_goals","home_accurate_passes","home_ball_possession","home_goals_prevented","home_shots_on_target","home_goalkeeper_saves","home_shots_inside_box","home_shots_off_target","home_shots_outside_box","home_big_chances_missed","home_big_chances_scored","home_final_third_entries","home_fouled_in_final_third","home_touches_in_penalty_area","home_attack","home_ball_safe","home_dangerous_attack","home_attack_pct","home_ball_safe_pct","home_dangerous_attack_pct","home_pass_accuracy_pct","home_crosses_value","home_crosses_total","home_crosses_pct","home_dribbles_value","home_dribbles_total","home_dribbles_pct","home_long_balls_value","home_long_balls_total","home_long_balls_pct","home_aerial_duels_value","home_aerial_duels_total","home_aerial_duels_pct","home_ground_duels_value","home_ground_duels_total","home_ground_duels_pct","home_final_third_phase_value","home_final_third_phase_total","home_final_third_phase_pct","home_xg_actual","home_punches","home_high_claims","home_errors_lead_to_a_shot","home_errors_lead_to_a_goal","home_red_cards","home_penalty_saves","received_at_away","away_duels","away_fouls","away_passes","away_tackles","away_offsides","away_big_saves","away_throw_ins","away_clearances","away_free_kicks","away_goal_kicks","away_recoveries","away_big_chances","away_tackles_won","away_total_saves","away_total_shots","away_corner_kicks","away_dispossessed","away_hit_woodwork","away_yellow_cards","away_blocked_shots","away_interceptions","away_through_balls","away_total_tackles","away_expected_goals","away_accurate_passes","away_ball_possession","away_goals_prevented","away_shots_on_target","away_goalkeeper_saves","away_shots_inside_box","away_shots_off_target","away_shots_outside_box","away_big_chances_missed","away_big_chances_scored","away_final_third_entries","away_fouled_in_final_third","away_touches_in_penalty_area","away_attack","away_ball_safe","away_dangerous_attack","away_attack_pct","away_ball_safe_pct","away_dangerous_attack_pct","away_pass_accuracy_pct","away_crosses_value","away_crosses_total","away_crosses_pct","away_dribbles_value","away_dribbles_total","away_dribbles_pct","away_long_balls_value","away_long_balls_total","away_long_balls_pct","away_aerial_duels_value","away_aerial_duels_total","away_aerial_duels_pct","away_ground_duels_value","away_ground_duels_total","away_ground_duels_pct","away_final_third_phase_value","away_final_third_phase_total","away_final_third_phase_pct","away_xg_actual","away_punches","away_high_claims","away_errors_lead_to_a_shot","away_errors_lead_to_a_goal","away_red_cards","away_penalty_saves"
"Row103",8390,"2026-07-20T03:00:03.988Z",51,21,852,17,4,0,19,21,25,5,59,4,65,0,20,9,8,0,0,3,10,3,17,1.94,762,65,0,12,0,9,5,11,3,1,88,3,31,141,109,99,26,36,38,89.4,5,27,19,12,22,55,23,52,44,12,24,50,49,96,51,215,263,82,1.94,1,,0,,0,,"2026-07-20T03:00:03.988Z",49,25,462,18,1,4,22,24,21,11,53,0,78,11,2,4,13,0,6,1,16,0,18,0.22,357,35,1.81,0,11,1,1,1,0,0,53,0,6,97,108,47,19,67,14,77.3,1,8,13,8,12,67,25,71,35,12,24,50,47,96,49,38,80,48,0.2,0,,1,,1,
"Row102",8389,"2026-07-19T05:00:03.850Z",39,14,444,16,3,1,5,11,8,5,47,6,63,4,19,3,12,0,,4,8,5,16,2.8,404,46,-1.14,9,4,12,6,7,2,4,46,2,53,73,48,51,26,28,46,91,1,6,0,7,20,35,17,26,65,9,12,75,31,91,34,140,166,84,2.8,,1,0,1,,,"2026-07-19T05:00:03.850Z",61,8,515,25,3,2,6,12,13,7,48,8,44,5,19,4,12,0,,6,12,4,25,3.05,467,54,0.15,11,5,16,2,3,5,3,31,4,33,71,73,34,13,54,33,90.7,4,12,33,21,25,84,15,35,43,4,12,33,60,91,66,44,64,69,2.9,,0,1,0,,
"Row101",8388,"2026-07-16T03:00:01.840Z",49,11,324,14,1,2,19,29,15,9,25,1,57,3,5,1,9,0,1,2,9,,14,0.53,272,36,-0.61,2,3,2,1,3,0,1,48,2,7,69,56,37,21,54,25,84,3,15,20,8,19,42,16,42,38,12,22,55,37,79,47,60,92,65,0.53,,,0,,,,"2026-07-16T03:00:01.840Z",51,15,590,20,3,0,20,30,11,3,33,3,50,1,15,6,11,2,3,3,7,,20,1.84,537,64,0.02,5,1,7,7,8,2,1,52,0,28,75,54,53,27,34,39,91,6,19,32,12,15,80,13,27,48,10,22,45,42,79,53,198,230,86,1.94,,,1,,,
"Row100",8387,"2026-07-14T21:55:33.358Z",44,11,472,14,4,,22,11,12,8,46,0,57,0,10,7,8,0,2,2,7,1,14,0.3,395,49,-0.43,3,0,4,5,6,0,0,44,3,20,80,72,36,22,44,34,83.7,4,20,20,7,21,33,19,36,53,8,25,32,33,68,49,91,117,78,0.3,,0,2,,,,"2026-07-14T21:55:33.358Z",56,12,500,22,5,,16,22,10,10,50,3,64,3,10,1,10,0,1,3,7,0,22,1.63,428,51,0.07,2,3,5,5,5,1,2,36,3,13,76,81,26,25,53,22,85.6,1,8,13,2,6,33,14,49,29,17,25,68,35,68,51,61,79,77,1.63,,1,0,,,
"Row99",8386,"2026-07-12T09:01:21.670Z",57,14,692,17,4,1,19,29,18,8,47,4,47,4,22,8,8,1,3,7,12,1,17,2,615,59,0.11,7,4,12,8,10,2,2,73,2,33,108,83,69,24,36,40,88.9,7,22,32,10,14,71,22,51,43,18,32,56,40,69,58,222,261,85,2.11,1,2,,,0,,"2026-07-12T09:01:21.670Z",43,18,474,12,3,2,16,26,14,11,49,1,42,4,11,2,8,0,2,3,6,1,12,0.53,399,41,-0.11,5,4,5,3,6,0,1,69,4,19,107,86,71,25,40,35,84.2,3,19,16,3,12,25,23,54,43,14,32,44,29,69,42,106,150,71,0.53,0,2,,,1,
"Row98",8385,"2026-07-12T05:01:21.622Z",47,10,576,24,1,0,16,21,8,10,43,1,50,6,13,7,6,1,1,3,8,,24,0.77,492,48,0.93,4,6,10,6,3,1,1,61,1,31,85,80,55,17,48,35,85.4,3,19,16,5,14,36,20,48,42,12,24,50,35,77,45,124,165,75,0.77,0,,1,0,,,"2026-07-12T05:01:21.622Z",53,8,626,15,5,1,27,35,10,7,45,3,73,3,14,4,13,0,0,3,7,,15,1.06,567,52,-0.61,8,3,8,3,6,1,2,72,3,31,92,75,61,22,34,44,90.6,9,21,43,17,28,61,26,50,52,12,24,50,42,77,55,140,166,84,0.97,2,,1,1,,
"Row97",8384,"2026-07-11T03:01:21.217Z",51,13,665,11,3,0,22,15,18,4,49,2,45,1,17,5,4,0,2,5,4,2,11,2.08,598,68,-0.42,8,1,10,4,7,,2,64,3,42,110,72,68,27,36,37,89.9,2,19,11,8,14,57,21,37,57,7,19,37,35,63,56,229,271,85,2.2,0,,0,0,,,"2026-07-11T03:01:21.217Z",49,18,314,10,1,1,15,33,13,13,39,1,60,6,5,1,6,0,2,2,10,1,10,0.37,244,32,0.59,2,6,4,1,1,,1,33,1,11,76,80,23,24,59,17,77.7,2,10,20,6,11,55,20,45,44,12,19,63,28,63,44,46,73,63,0.37,1,,1,1,,
"Row96",8287,"2026-07-10T19:01:59.875Z",57,12,520,10,1,0,21,15,11,5,40,2,60,2,16,3,9,1,1,5,8,,10,1.41,467,61,0.13,4,2,9,7,7,,2,56,3,20,110,88,54,20,54,26,89.8,5,12,42,8,13,62,32,49,65,14,21,67,29,55,53,84,108,78,1.46,0,0,0,0,1,,"2026-07-10T19:01:59.875Z",43,11,335,14,1,1,11,17,12,8,44,0,50,2,3,1,6,0,2,0,7,,14,0.07,272,39,-0.47,2,2,1,1,2,,0,39,2,2,78,89,31,16,65,19,81.2,1,8,13,1,5,20,17,46,37,7,21,33,26,55,47,25,56,45,0.07,1,2,1,1,2,
"Row95",8383,"2026-07-10T04:01:20.668Z",54,10,485,11,,0,17,22,12,7,41,5,73,1,22,5,4,1,0,5,11,,11,3.04,432,48,0.07,8,1,12,9,10,5,,63,3,26,72,54,45,19,37,44,89.1,5,12,42,8,21,38,14,30,47,12,13,92,30,65,46,141,179,79,3.04,,1,0,,,0,"2026-07-10T04:01:20.668Z",46,13,524,17,,3,18,12,10,13,41,0,35,6,5,5,3,0,1,1,6,,17,0.14,452,52,0.6,1,6,1,3,4,0,,35,5,8,56,64,25,17,59,24,86.3,2,13,15,10,18,56,12,39,31,1,13,8,35,65,54,86,110,78,0.14,,0,3,,,1
"Row94",8382,"2026-07-08T04:04:34.061Z",46,22,626,13,5,2,22,37,21,11,46,0,54,3,7,3,5,0,3,1,13,,13,0.35,546,53,0.43,2,3,4,4,3,0,,65,2,18,98,86,66,24,53,23,87.2,1,15,7,4,15,27,31,62,50,16,31,52,36,81,44,101,143,71,0.35,,1,1,,,,"2026-07-08T04:04:34.061Z",54,21,548,16,4,0,19,21,22,9,55,2,44,2,15,7,7,2,2,4,12,,16,1.03,454,47,0.17,3,2,9,8,6,2,,58,4,21,115,112,65,24,54,22,82.8,4,18,22,9,15,60,33,78,42,15,31,48,45,81,56,63,105,60,1.03,,0,0,,,
