"row ID","event_id","minute","xg_home","xg_away","cum_home","cum_away","received_at"
"Row0_1",8288,12,0.095,0,0.095,0,"2026-06-12T10:05:33.753Z"
"Row0_2",8288,14,0.058,0,0.153,0,"2026-06-12T10:05:33.753Z"
"Row0_3",8288,22,0,0.279,0.153,0.279,"2026-06-12T10:05:33.753Z"
"Row0_4",8288,32,0,0.007,0.153,0.285,"2026-06-12T10:05:33.753Z"
"Row0_5",8288,38,0.025,0,0.179,0.285,"2026-06-12T10:05:33.753Z"
"Row0_6",8288,39,0.13,0,0.308,0.285,"2026-06-12T10:05:33.753Z"
"Row0_7",8288,45,0.211,0,0.52,0.285,"2026-06-12T10:05:33.753Z"
"Row0_8",8288,49,0.344,0,0.864,0.285,"2026-06-12T10:05:33.753Z"
"Row0_9",8288,56,0.203,0,1.067,0.285,"2026-06-12T10:05:33.753Z"
"Row0_10",8288,59,0,0.214,1.067,0.5,"2026-06-12T10:05:33.753Z"
"Row0_11",8288,61,0.046,0,1.113,0.5,"2026-06-12T10:05:33.753Z"
"Row0_12",8288,67,0.311,0,1.424,0.5,"2026-06-12T10:05:33.753Z"
"Row0_13",8288,80,0.531,0,1.955,0.5,"2026-06-12T10:05:33.753Z"
"Row0_14",8288,82,0,0.12,1.955,0.62,"2026-06-12T10:05:33.753Z"
"Row0_15",8288,88,0,0.01,1.955,0.631,"2026-06-12T10:05:33.753Z"
"Row0_16",8288,90,0.057,0.205,2.012,0.836,"2026-06-12T10:05:33.753Z"
"Row1_1",8289,3,0,0.054,0,0.054,"2026-06-13T03:00:28.543Z"
"Row1_2",8289,5,0,0.018,0,0.072,"2026-06-13T03:00:28.543Z"
"Row1_3",8289,13,0,0.043,0,0.115,"2026-06-13T03:00:28.543Z"
"Row1_4",8289,17,0.268,0,0.268,0.115,"2026-06-13T03:00:28.543Z"
"Row1_5",8289,21,0,0.64,0.268,0.755,"2026-06-13T03:00:28.543Z"
"Row1_6",8289,28,0.061,0,0.329,0.755,"2026-06-13T03:00:28.543Z"
"Row1_7",8289,30,0.025,0,0.353,0.755,"2026-06-13T03:00:28.543Z"
"Row1_8",8289,32,0.051,0,0.404,0.755,"2026-06-13T03:00:28.543Z"
"Row1_9",8289,38,0.044,0,0.448,0.755,"2026-06-13T03:00:28.543Z"
"Row1_10",8289,44,0,0.016,0.448,0.772,"2026-06-13T03:00:28.543Z"
"Row1_11",8289,45,0.125,0,0.573,0.772,"2026-06-13T03:00:28.543Z"
"Row1_12",8289,46,0,0.016,0.573,0.788,"2026-06-13T03:00:28.543Z"
"Row1_13",8289,53,0.257,0,0.83,0.788,"2026-06-13T03:00:28.543Z"
"Row1_14",8289,59,0,0.186,0.83,0.974,"2026-06-13T03:00:28.543Z"
"Row1_15",8289,65,0.016,0,0.847,0.974,"2026-06-13T03:00:28.543Z"
"Row1_16",8289,66,0.097,0,0.944,0.974,"2026-06-13T03:00:28.543Z"
"Row1_17",8289,78,0.076,0,1.02,0.974,"2026-06-13T03:00:28.543Z"
"Row1_18",8289,81,0.037,0,1.057,0.974,"2026-06-13T03:00:28.543Z"
"Row1_19",8289,85,0,0.01,1.057,0.984,"2026-06-13T03:00:28.543Z"
"Row1_20",8289,90,0.191,0,1.247,0.984,"2026-06-13T03:00:28.543Z"
"Row2_1",8290,2,0,0.064,0,0.064,"2026-06-13T09:00:28.665Z"
"Row2_2",8290,3,0.036,0,0.036,0.064,"2026-06-13T09:00:28.665Z"
"Row2_3",8290,14,0,0.024,0.036,0.088,"2026-06-13T09:00:28.665Z"
